ay,ax,az,my,mx,mz
0.04,0.09,-1.14,-23.41,49.35,43.99
0.14,0.1,-0.97,-16.3,51.63,42.53
0.11,0.15,-0.98,-16.04,51.38,42.74
0.08,0.15,-1.04,-16.83,50.11,41.29
0.11,0.17,-1.1,-9.73,50.36,39.84
0.03,0.22,-1.02,-9.47,49.6,40.46
0.09,0.21,-1.05,-3.42,48.84,34.85
0.12,0.17,-1.13,-5.26,45.55,37.97
0.11,0.16,-0.97,-6.31,46.57,33.82
0.1,0.08,-1.09,-6.05,47.83,31.54
0.04,0.15,-0.91,-7.1,44.29,30.29
0.16,0.12,-0.91,-3.94,40.74,30.71
0.07,0.04,-1.02,-5.26,35.94,35.48
0.1,0.11,-1.06,-3.42,33.15,38.59
0.1,0.11,-0.9,-3.42,33.15,43.99
0.08,0.11,-0.97,-4.21,35.94,50.0
0.05,0.09,-1.01,-8.68,34.67,51.87
0.12,0.1,-0.92,-6.31,38.47,53.74
0.06,0.02,-1.08,-5.52,38.21,57.27
0.22,0.05,-1.07,-7.1,37.2,53.53
0.0,0.05,-0.98,-7.63,30.62,55.61
0.13,0.09,-0.95,-5.52,32.14,51.87
0.06,0.07,-0.94,-10.52,33.41,50.0
0.11,0.16,-0.84,-12.1,34.42,48.76
0.06,-0.03,-1.17,-16.57,30.11,49.8
0.17,0.02,-1.04,-14.99,26.07,49.38
0.03,-0.05,-1.11,-18.67,22.01,48.97
0.09,-0.17,-1.18,-14.2,18.72,48.76
0.07,0.06,-1.06,-16.04,22.01,47.31
0.09,0.1,-0.96,-14.2,24.8,47.93
0.04,0.1,-0.99,-19.46,30.37,46.68
0.08,0.11,-0.97,-21.57,29.86,47.51
0.0,0.1,-0.99,-21.04,30.87,48.34
0.09,0.06,-1.03,-21.04,35.43,45.85
0.09,0.06,-1.03,-23.15,32.9,42.95
0.09,0.09,-1.04,-17.88,35.43,46.27
0.01,0.11,-1.05,-17.62,32.65,47.72
0.05,0.1,-0.99,-18.41,35.94,48.76
0.0,0.11,-1.06,-20.52,33.41,49.17
0.07,0.14,-1.0,-20.78,36.19,47.31
0.0,0.07,-1.03,-19.99,35.43,42.95
0.08,0.08,-0.94,-16.57,39.23,45.23
0.01,0.1,-0.94,-13.94,40.74,41.08
0.02,0.07,-1.19,-8.68,38.21,42.74
0.05,0.07,-1.09,-12.88,35.68,43.16
0.04,0.01,-1.0,-14.46,34.16,42.74
0.09,-0.12,-1.17,-12.88,34.67,44.4
0.1,0.02,-0.91,-6.05,37.71,46.89
-0.03,0.01,-1.01,-8.15,35.18,51.46
0.1,-0.04,-1.17,-6.05,37.71,50.63
0.09,0.15,-0.87,-8.41,36.95,49.59
0.05,0.13,-0.97,-4.73,37.96,44.61
0.06,0.11,-1.05,-6.57,32.65,46.06
0.09,0.14,-0.99,-4.21,29.86,47.51
0.06,0.13,-1.06,-4.21,28.85,47.51
0.01,0.11,-0.96,-0.79,30.11,49.8
-0.04,0.18,-0.82,-4.21,31.38,52.49
0.08,0.02,-1.13,-4.73,33.41,50.42
0.16,0.09,-0.88,-11.31,37.2,52.29
0.05,0.09,-1.0,-12.1,42.52,46.68
0.03,0.12,-1.09,-9.47,44.54,45.02
0.05,0.12,-0.99,-7.1,48.84,43.57
0.02,0.16,-1.02,-7.36,48.09,45.02
0.0,0.16,-1.08,-8.94,47.58,45.02
0.08,0.17,-1.02,-5.26,45.55,46.68
0.04,0.17,-1.01,-7.89,46.57,50.0
0.11,0.01,-1.02,-11.31,44.29,53.12
0.06,0.15,-1.0,-16.3,43.02,55.4
0.01,0.14,-1.07,-18.15,42.26,56.44
0.08,0.07,-1.04,-24.46,44.29,53.95
-0.01,0.1,-1.02,-22.36,43.28,53.53
0.0,-0.01,-1.21,-24.99,46.82,52.7
0.0,0.0,-1.2,-22.09,47.07,52.91
0.05,0.12,-0.96,-20.52,53.65,50.42
-0.01,0.1,-0.98,-22.62,50.62,54.15
0.09,0.1,-1.05,-20.52,52.13,52.49
