posx,posy,ay,ax,az,my,mx,mz
1,1,-0.0725,0.0125,-1.025,-41.3425,-58.445,24.605
1,1,-0.0425,-0.04,-1.07,-43.225,-51.22,31.98
1,1,0.005,0.0625,-1.02,-41.5625,-55.6125,27.59
1,2,-0.075,-0.0325,-1.015,-45.2875,-62.835,25.3375
1,2,-0.0675,-0.02,-1.0075,-41.43,-56.8,29.48
1,2,0.0275,0.025,-1.025,-40.645,-50.3975,34.235
1,3,-0.0575,0.01,-1.0275,-43.095,-69.0575,26.31
1,3,-0.02,0.015,-1.0325,-38.935,-56.8925,34.9025
1,3,-0.055,-0.025,-1.0275,-78.4075,45.6375,75.435
2,3,-0.0325,-0.0975,-1.0225,-48.66,-62.925,25.76
2,3,0.0075,0.0925,-1.025,-41.65,-54.51,29.785
2,3,-0.005,-0.02,-1.0225,-43.6675,-54.51,34.4175
2,2,-0.0225,0.035,-1.0375,-45.0225,-58.445,27.895
2,2,-0.045,0.035,-1.03,-42.2175,-55.155,26.92
2,2,0.08,0.005,-1.035,-44.4975,-52.0425,36.7925
2,1,0.025,0.1125,-1.015,-43.7975,-55.1525,26.31
2,1,-0.0375,0.0625,-0.975,-41.7825,-49.6625,27.775
2,1,-0.0225,-0.05,-1.07,-41.87,-45.64,34.72
3,1,-0.04,-0.02,-1.03,-45.6375,-54.605,28.14
3,1,-0.08,-0.025,-0.995,-44.41,-53.325,27.405
3,1,0.0175,0.015,-1.0125,-45.595,-52.135,30.0275
3,2,-0.16,-0.0075,-1.0125,-44.2375,-61.005,15.5825
3,2,-0.02,-0.01,-1.02,-42.6575,-47.65,28.87
3,2,0.0775,-0.1475,-1.005,-48.5725,-44.4475,38.3175
3,3,0.04,0.0775,-1.0425,-44.0175,-51.7675,22.1075
3,3,-0.0975,0.07,-1.015,-44.8475,-54.6,18.8725
3,3,0.1025,0.0325,-1.005,-46.8175,-47.925,29.0525
4,3,-0.0125,-0.09,-1.0125,-47.6525,-47.4675,24.3575
4,3,0.055,-0.01,-1.035,-47.565,-44.1775,25.0925
4,3,0.005,-0.09,-1.035,-48.835,-43.3525,26.37
4,2,-0.005,0.0275,-1.0175,-46.335,-1627483.0775,25.825
4,2,-0.0625,0.0025,-1.035,-45.725,-47.2875,26.8
4,2,0.015,-0.1425,-1.015,-49.8875,-44.6325,31.7375
4,1,0.01,0.075,-0.9875,-43.1825,-43.2625,31.0625
4,1,-0.0825,-0.035,-1.03,-45.6375,-47.105,28.14
4,1,-0.04,-0.0025,-1.0175,-43.885,-44.5425,28.625
5,1,-0.035,0.005,-1.035,-46.25,-46.735,28.14
5,1,-0.04,-0.0175,-1.0375,-45.4175,-45.18,28.2
5,1,0.025,-0.0025,-1.02,-45.3725,-40.88,36.4275
5,2,-0.0025,0.005,-1.03,-47.7825,-44.9975,27.3475
5,2,0.035,-0.0225,-1.035,-46.1625,-40.3325,31.795
5,2,0.0525,0.045,-1.0225,-46.425,-39.6,31.6725
5,3,0.0225,0.08,-1.06,-46.82,-42.07,18.69
5,3,-0.0625,0.0275,-1.02,-48.09,-45.275,15.9475
5,3,0.065,-0.11,-1.0075,-51.64,-42.62,25.6375
6,3,0.0075,0.0475,-1.0125,-47.9575,-39.875,15.765
6,3,0.0025,0.0075,-1.04,-47.5225,-36.765,17.84
6,3,0.0275,-0.015,-1.045,-46.4675,-34.0225,21.74
6,2,0.04,0.0375,-1.0475,-48.2225,-41.5225,27.955
6,2,0.01,-0.02,-1.05,-48.0475,-41.34,28.5675
6,2,0.0825,-0.0825,-1.0075,-48.3975,-35.67,34.7825
6,1,0.115,0.045,-1.0225,-47.3875,-37.7725,38.745
6,1,-0.1025,-0.12,-1.0025,-47.695,-43.9025,31.4925
6,1,0.0625,-0.01,-1.0225,-46.91,-36.7675,39.295
7,1,0.06,-0.035,-1.035,-49.23,-43.0775,34.4775
7,1,0.005,-0.11,-1.0175,-48.79,-42.895,33.015
7,1,0.0725,0.0025,-1.045,-47.4775,-36.4925,36.305
7,2,-0.075,0.0625,-1.0275,-47.3475,-46.8275,16.985
7,2,-0.0525,-0.03,-1.015,-47.3475,-41.52,22.4725
7,2,0.045,-0.0025,-1.0275,-48.1775,-34.8425,30.09
7,3,0.0675,0.1075,-1.0325,-44.935,-35.2125,13.51
7,3,0.02,-0.02,-0.9825,-44.935,-34.845,17.5325
7,3,0.0825,-0.055,-1.0075,-46.295,-33.11,22.715
8,3,0.105,-0.04,-1.0075,-48.6175,-43.6275,11.805
8,3,-0.01,-0.14,-1.0125,-47.5225,-41.705,10.2825
8,3,0.11,-0.04,-0.99,-49.055,-36.4925,18.875
8,2,0.0125,0.07,-1.03,-46.1175,-39.6925,22.8375
8,2,-0.035,0.0175,-1.025,-46.6025,-43.0775,18.995
8,2,0.0275,-0.0725,-1.05,-46.9525,-34.6625,28.9925
8,1,-0.065,-0.135,-1.0275,-49.7525,-44.9075,27.1625
8,1,-0.11,0.08,-1.02,-41.87,-40.7,23.505
8,1,0.125,-0.01,-1.025,-45.155,-31.4625,39.4175
9,1,-0.0275,0.0525,-1.05,-45.68,-39.51,27.225
9,1,-0.0275,-0.1375,-1.02,-46.865,-37.04,32.0375
9,1,-0.055,-0.1425,-1.0075,-44.9775,-29.4525,37.8275
9,2,-0.15,0.0125,-1.015,-48.045,-47.01,11.0125
9,2,0.0075,-0.085,-1.0325,-46.6025,-32.1025,28.505
9,2,-0.03,-0.23,-0.985,-52.12,-38.505,23.14
9,3,0.11,0.0825,-1.005,-50.2375,-40.425,9.7925
9,3,-0.065,0.13,-1.0175,-48.795,-39.785,1.9325
9,3,0.0525,-0.0375,-0.9625,-52.7325,-38.505,9.3675
10,3,-0.045,0.0125,-1,-50.15,-32.5625,14.3025
10,3,0.0425,0.04,-1.0225,-47.6975,-25.7925,16.6175
10,3,0.1025,-0.1325,-0.9325,-50.15,-19.9375,26.8575
10,2,-0.0175,-0.0325,-1.01,-46.7775,-29.1775,28.9925
10,2,-0.1,0.0275,-0.9925,-44.6725,-28.81,23.9925
10,2,0.07,-0.105,-1.0475,-49.755,-25.3325,33.2575
10,1,0,-0.0575,-1.025,-48.0925,-32.8325,35.085
10,1,-0.035,-0.06,-1.005,-45.42,-29.815,34.54
10,1,-0.03,-0.0875,-1.0325,-48.355,-35.9425,32.2825
11,1,0.105,0.065,-1.015,-43.5375,-20.395,43.9875
11,1,-0.105,0.02,-1.0375,-43.6225,-24.42,37.0375
11,1,0.0975,0.0625,-1.0225,-42.7,-14.8175,42.8275
11,2,-0.0275,-0.0225,-1.01,-46.905,-27.2575,29.175
11,2,-0.17,0.0075,-0.97,-45.375,-30.09,26.19
11,2,0.1525,-0.0375,-1,-50.94,-19.5725,39.9
11,3,-0.02,-0.045,-0.995,-47.26,-25.4275,23.0825
11,3,0.0425,0.055,-1.0475,-44.85,-20.2125,24.36
11,3,-0.025,-0.1325,-1.04,-47.695,-23.415,25.5175
12,3,-0.1075,-0.2,-0.9475,-51.6825,-35.3975,30.3325
12,3,0.045,-0.0575,-1.01,-43.27,-16.005,37.525
12,3,-0.0575,0.0975,-1.015,-46.2925,-35.3025,23.5675
12,2,0,-0.0175,-1.0325,-45.33,-24.88,39.29
12,2,-0.06,-0.035,-1.015,-43.3575,-22.7725,38.015
12,2,0.0175,-0.0625,-1.015,-45.5925,-21.4025,41.8525
12,1,-0.07,-0.0625,-0.88,-54.05,-21.1275,45.205
12,1,-0.165,0.005,-0.9725,-44.28,-23.415,39.9025
12,1,-0.0125,0.07,-1.02,-46.2075,-24.1475,41.975
13,1,-0.0225,-0.0375,-1.0025,-49.45,-28.5375,46.7275
13,1,-0.1175,0.055,-1.005,-42.965,-33.84,41.1225
13,1,-0.045,-0.02,-1.02,-49.58,-34.48,42.0375
13,2,0.1075,0.0225,-1.0175,-43.535,-17.47,52.64
13,2,-0.01,0.015,-1.0225,-42.3075,-25.5175,46.7875
13,2,0.0575,0.115,-1.03,-42.83,-28.6275,44.4725
13,3,0.085,-0.0525,-1.05,-44.1925,-25.06,50.02
13,3,-0.075,0.0025,-1.035,-40.6425,-32.835,39.8375
13,3,0.05,0.075,-1.075,-39.8975,-29.27,39.1675
14,3,-0.01,-0.0275,-1.035,-44.1925,-33.655,51.4825
14,3,-0.06,0.125,-1.0225,-38.275,-31.19,47.155
14,3,0.035,0.205,-0.9875,-40.555,-34.6625,46.9125
14,2,-0.065,0.0625,-1.005,-41.43,-31.3725,47.8875
14,2,0.15,-0.0075,-1.05,-44.4975,-22.4075,57.8825
14,2,0.095,-0.0925,-1.0225,-46.5575,-22.3175,61.845
14,1,0.015,0.125,-1.02,-47.345,-38.595,45.1425
14,1,-0.1025,-0.0325,-1.015,-46.995,-42.8025,41.9725
14,1,-0.095,0.015,-1.065,-46.645,-38.4125,43.07
15,1,-0.05,0.0075,-1.0275,-46.735,-43.9,49.165
15,1,0.025,0.015,-1.025,-44.41,-32.6525,55.81
15,1,0.075,0.0625,-1.04,-44.3225,-31.7375,58.2475
15,2,-0.0275,-0.02,-1.0425,-49.0525,-39.7825,49.715
15,2,-0.0175,-0.03,-1.0275,-45.6375,-32.4675,53.8575
15,2,0.15,0.0225,-1.0325,-44.06,-17.6525,64.4675
15,3,0.035,0.035,-1.05,-43.7075,-25.1525,58.005
15,3,-0.0925,0.015,-1.0175,-44.63,-40.2425,48.435
15,3,0.0725,0.06,-1.0225,-45.285,-25.7,59.9525
16,3,0.0275,-0.045,-1.015,-49.58,-22.59,58.4925
16,3,-0.125,0.0525,-1.03,-44.3225,-28.9925,50.2
16,3,0.045,0.055,-1.07,-47.565,-22.225,60.685
16,2,-0.0575,-0.01,-1.0275,-46.82,-34.755,53.0675
16,2,-0.095,0.04,-1.02,-44.41,-36.86,50.8125
16,2,0.1,0.065,-1.01,-43.14,-16.465,66.1125
16,1,-0.0275,-0.0325,-1.025,-44.28,-29.0875,63.5475
16,1,0.015,0.0375,-1.0225,-40.555,-20.7625,65.8075
16,1,-0.01,-0.055,-1.015,-45.0225,-26.4325,67.025
17,1,-0.04,0.035,-1.02,-42.44,-26.155,57.3325
17,1,-0.2025,-0.095,-0.9875,-50.7625,-47.7425,41.73
17,1,-0.0875,0.24,-0.995,-43.4025,-40.425,45.755
17,2,-0.0275,0.005,-1.015,-45.4625,-24.605,56.5425
17,2,-0.0775,-0.0225,-1.03,-46.4675,-28.535,54.6525
17,2,0.0275,0.12,-1.0175,-43.49,-19.39,59.6525
17,3,0.055,0.0175,-1.04,-47.5625,-8.8725,62.0275
17,3,0.055,0.0075,-1.035,-47.565,-5.575,64.1
17,3,-0.025,-0.09,-1.0175,-51.9025,-21.035,57.82
18,3,0.0475,-0.0575,-1.045,-43.36,-5.21,57.7625
18,3,-0.0325,-0.03,-1.02,-45.375,-15.275,52.7625
18,3,-0.025,0.0675,-1.035,-44.0625,-13.81,53.7375
18,2,-0.0025,-0.04,-1.0325,-46.91,-26.7075,55.6275
18,2,-0.0225,0.1175,-0.955,-39.765,-16.5525,54.5925
18,2,0.0675,0.045,-1.0225,-46.3825,-21.7675,58.9175
18,1,0.0125,0.025,-0.985,-45.945,-36.9475,49.5325
18,1,-0.1025,-0.0075,-1.04,-43.315,-39.5125,46.6075
18,1,-0.035,0.185,-1.02,-46.295,-42.255,44.6575
19,1,0.02,-0.145,-1.0025,-46.2525,-43.99,48.2525
19,1,-0.1625,0.1575,-1.0125,-37.665,-48.9325,32.77
19,1,0.025,0.0775,-1.0375,-47.61,-46.095,47.215
19,2,-0.06,-0.0475,-1.025,-45.0675,-28.54,49.53
19,2,0.0475,0.065,-1.0225,-41.6525,-13.9025,56.6
19,2,0.0175,-0.0125,-1.025,-45.9425,-24.88,53.8
19,3,0.01,-0.155,-0.995,-49.8425,-16.92,51.665
19,3,-0.0125,0.04,-1.02,-42.835,-14.54,48.985
19,3,0.0675,0.1225,-1.0225,-40.1175,-5.9425,53.2475
20,3,-0.01,-0.115,-1.01,-47.5225,-18.2925,46.7275
20,3,-0.0425,0.02,-1.0275,-42.1775,-12.6175,47.705
20,3,-0.1025,0.04,-1.06,-40.73,-13.625,48.2525
20,2,-0.01,-0.005,-1.0175,-41.7825,-18.7475,55.3225
20,2,0.045,-0.0075,-1.015,-40.2475,-13.3525,58.31
20,2,-0.06,0.0075,-1.05,-38.45,-14.54,56.0525
20,1,0.0525,0.1425,-1.05,-36.655,-21.5825,53.9225
20,1,-0.105,-0.1,-1.005,-41.0375,-31.2775,51.36
20,1,-0.04,0.1125,-1.015,-38.1425,-41.705,42.5825
21,1,-0.08,-0.0425,-1.03,-40.73,-29.91,48.4975
21,1,-0.0325,0.0125,-1.0325,-39.3725,-23.2325,53.065
21,1,0.015,-0.0475,-1.0275,-44.675,-27.895,55.9325
21,2,0.0375,-0.2325,-0.9975,-50.6325,-22.045,54.835
21,2,-0.015,-0.0025,-1.035,-41.17,-13.0775,56.055
21,2,-0.045,0.09,-1.0025,-41.52,-22.9575,50.8125
21,3,0.15,0.165,-0.9925,-37.7075,-2.5625,52.58
21,3,0.14,0.005,-0.995,-42.3075,-6.675,57.15
21,3,0.025,-0.1775,-0.9925,-43.885,9.6,65.3175
22,3,-0.0625,-0.04,-1.0325,-42.525,-12.2525,51.6025
22,3,0.03,-0.0075,-1.015,-43.1825,-14.9075,51.7875
22,3,-0.0725,-0.13,-1.0175,-44.3675,-12.62,53.435
22,2,0.0475,0.0525,-1.035,-40.29,-4.8425,55.5675
22,2,0.1075,-0.01,-1.0275,-44.28,-8.4125,58.31
22,2,0.005,-0.0825,-0.99,-45.155,-13.9025,54.53
22,1,-0.0325,0.0475,-1.0325,-41.3875,-17.56,47.9475
22,1,-0.08,-0.0025,-1.0375,-43.4025,-17.3775,44.29
22,1,-0.0875,0.09,-1.0125,-39.985,-11.5225,46.485
23,1,-0.055,0.135,-1.025,-44.0175,-23.965,34.535
23,1,0.045,0.06,-0.995,-43.755,-14.9975,42.585
23,1,0.0475,-0.0975,-1.0175,-48.8375,-19.9375,43.56
23,2,-0.0025,-0.05,-1.0125,-44.325,-16.37,51.5425
23,2,0.0075,-0.0325,-1.03,-42.79,-9.6975,53.435
23,2,0.035,0.1725,-1.0375,-42.2625,-17.0125,50.3875
23,3,0.08,-0.0425,-1.045,-43.4475,-2.285,59.8325
23,3,0.04,0,-1.04,-42.305,-6.31,56.4175
23,3,0.1325,0.0525,-1.0025,-44.63,-7.315,55.1425
24,3,-0.0225,-0.025,-1.0225,-40.95,-8.96,57.6975
24,3,0.13,-0.1375,-1.01,-44.7175,-1.8275,65.6225
24,3,-0.0025,-0.085,-1.0425,-42.2225,-10.3325,58.98
24,2,0.0475,0.0675,-0.995,-40.03,-15.8225,47.155
24,2,0.005,0.2025,-0.9975,-40.51,-27.805,38.1975
24,2,0.005,-0.0825,-1.0175,-45.285,-21.31,50.2025
24,1,-0.05,-0.0175,-1.0875,-45.77,-40.9725,31.615
24,1,-0.04,-0.055,-1.0225,-46.7325,-37.6825,34.1725
24,1,-0.185,0.015,-1,-44.145,-44.9075,24.2375
25,1,-0.055,-0.0075,-1.0275,-42.745,-40.7,32.65
25,1,-0.105,0.0875,-1.03,-39.8525,-39.785,29.48
25,1,0.0075,-0.0475,-1.0225,-46.7325,-38.9625,36.975
25,2,-0.12,-0.1375,-1.03,-44.19,-30.5475,44.7775
25,2,0.0475,0.03,-0.9425,-39.5925,-24.97,43.9875
25,2,0.09,0.08,-1.015,-40.9075,-22.4075,48.74
25,3,0.03,-0.025,-1.025,-41.9575,-14.3575,55.81
25,3,-0.0725,-0.005,-0.9975,-38.54,-17.1025,51.1775
25,3,0.0525,-0.04,-0.945,-43.185,-14.725,57.5175
26,3,0.0275,-0.12,-1.025,-40.16,-7.1325,57.09
26,3,-0.035,0.04,-1.02,-37.0525,-14.7225,50.0825
26,3,-0.0225,-0.05,-1.03,-40.95,-26.1575,48.6775
26,2,0.02,-0.065,-1.0275,-43.315,-25.9775,48.9225
26,2,-0.035,0.06,-1.0225,-37.095,-21.5825,45.9975
26,2,0,0.18,-1.015,-38.585,-28.9,41.9725
26,1,0.075,-0.005,-1.0575,-44.325,-31.005,42.4
26,1,-0.135,0.0525,-0.9825,-38.6275,-34.4775,30.3325
26,1,-0.135,-0.0075,-1.0225,-41.7375,-37.865,32.1
27,1,0.0975,0.02,-1.03,-43.505,-41.5525,43.8975
27,1,-0.0125,-0.035,-1.005,-44.9675,-54.175,40.0225
