posx,posy,ay,ax,az,my,mx,mz
73,1,0.0225,0.05500000000000001,-1.07,27.250000000000004,-50.824999999999996,55.165
73,1,-0.012499999999999999,-0.005,-1.07,8.815000000000001,52.852500000000006,54.8975
73,1,-0.02,0.0425,-1.0525,-54.9975,-40.442499999999995,51.480000000000004
43,0,-0.037500000000000006,0.1275,-1.06,0.2450000000000001,-64.90249999999999,43.895
73,0,0.02,-0.01,-1.0350000000000001,14.635000000000002,-54.27,51.64
73,0,0.0125,0.0024999999999999996,-1.0275,-15.0625,57.155,51.26499999999999
73,0,-0.095,0.0024999999999999988,-1.0725000000000002,-69.39,-7.307499999999999,48.65
73,2,-0.10750000000000001,0.029999999999999995,-1.095,15.6125,-58.45,47.1525
73,2,0.015,0.060000000000000005,-1.01,-2.015,54.885,54.8425
73,2,-0.0275,0.052500000000000005,-1.06,-13.162500000000001,51.8125,57.085
73,2,-0.0475,0.0225,-1.0375,-64.0,7.0625,54.0975
73,3,-0.055,0.09250000000000001,-1.1099999999999999,-10.04,55.19,48.915
73,3,0.037500000000000006,0.115,-0.9125,20.4525,-51.75,48.275
73,3,0.0175,0.0175,-1.145,-60.39,-30.4825,47.315000000000005
72,-1,-0.015000000000000005,0.1275,-1.095,-53.345,-25.012500000000003,47.9025
72,-1,0.025,0.08,-1.095,47.1575,13.885,41.4375
72,-1,0.0375,0.10250000000000001,-1.0575,-55.4875,10.812500000000002,52.015
72,0,0.005,0.1025,-1.02,25.66,-53.285000000000004,44.375
72,0,0.0075,0.11250000000000002,-1.0899999999999999,45.3825,31.894999999999996,45.7675
72,0,0.07250000000000001,0.0375,-0.9750000000000001,-42.3175,44.434999999999995,48.755
72,1,0.0,0.1325,-1.0350000000000001,20.6975,-57.035,48.275
72,1,0.052500000000000005,0.0125,-0.9950000000000001,42.135000000000005,29.1275,46.99250000000001
72,1,0.0625,-0.0575,-1.0925000000000002,-60.45,21.935000000000002,47.155
72,2,-0.11750000000000001,-0.0975,-1.1225,14.7575,-63.245000000000005,39.4625
72,2,-0.07500000000000001,-0.01,-1.0575,-9.245000000000001,48.985,50.355000000000004
72,2,-0.09,-0.012499999999999999,-1.19,20.945,-59.739999999999995,37.167500000000004
72,3,-0.1325,0.07500000000000001,-1.0575,-30.6825,44.19,48.6475
72,3,-0.1325,0.045,-1.05,-61.065000000000005,-34.847500000000004,37.542500000000004
71,-1,0.04,0.11,-1.2175,22.72,-53.287499999999994,43.842499999999994
71,-1,-0.037500000000000006,0.05,-1.0550000000000002,-61.4275,-5.8325000000000005,48.3275
71,-1,-0.0175,0.0475,-1.075,4.895,51.26,48.275
71,0,0.024999999999999998,0.0575,-1.0575,26.64,-52.55,44.055
71,0,0.02,0.017499999999999998,-1.0575,-56.1,-34.537499999999994,47.3125
71,0,-0.0175,-0.0075,-1.0575,-34.6025,46.4025,47.2625
71,1,0.08249999999999999,-0.05,-1.1,20.697499999999998,-55.685,46.035000000000004
71,1,-0.165,0.045,-1.03,-58.365,-40.995,46.73
71,1,-0.0425,-0.04000000000000001,-1.0450000000000002,43.85,23.6,52.22749999999999
71,2,-0.010000000000000002,0.0675,-1.0699999999999998,22.4125,-59.002500000000005,40.154999999999994
71,2,0.0325,0.1675,-0.905,-37.2975,24.1525,49.1825
71,2,-0.135,0.10749999999999998,-1.03,-32.765,45.1725,47.045
71,3,-0.21499999999999997,0.0225,-1.0525,27.865000000000002,-56.36,31.7725
71,3,-0.08750000000000001,0.004999999999999999,-1.1075,-55.0575,-43.82249999999999,35.94
71,3,-0.165,0.024999999999999998,-1.0150000000000001,-35.95,39.3925,47.9025
70,1,-0.0925,0.0425,-1.03,2.015,-47.8775,33.2675
70,1,-0.0125,0.0575,-1.1225,-79.1925,-30.175,39.57
70,1,0.0075000000000000015,0.0425,-1.07,-62.84,52.364999999999995,42.08
70,0,-0.065,0.05249999999999999,-1.095,39.072500000000005,-68.9625,51.8
70,0,-0.1625,0.0925,-0.9575,-49.792500000000004,-36.1975,59.8625
70,0,2.6020852139652106e-18,0.07250000000000001,-1.1775,-29.09,36.935,60.2925
70,-1,-0.04,0.1075,-1.0775,8.940000000000001,-59.004999999999995,59.7025
70,-1,-0.105,0.1375,-1.05,53.0375,20.89,59.065
70,-1,0.0025,0.024999999999999998,-1.1099999999999999,-34.787499999999994,39.2125,60.98500000000001
70,2,0.0125,0.05500000000000001,-1.0575,31.049999999999997,-69.3925,48.22
70,2,0.025,0.0175,-1.0425,-47.83,-54.27,54.415
70,2,-0.02,0.0425,-1.0775000000000001,-36.1325,27.5325,56.49999999999999
70,3,0.055,-0.05,-0.9325,31.660000000000004,-67.3025,49.824999999999996
70,3,0.5650000000000001,0.58,0.0675,45.75,0.4275000000000011,44.2725
70,3,-0.030000000000000002,0.05,-1.0325,41.459999999999994,-65.58,37.115
69,1,-0.035,0.065,-0.94,35.8275,-71.975,46.405
69,1,0.08499999999999999,0.024999999999999998,-1.12,32.8875,-1115309.0175,56.5525
69,1,-0.10250000000000001,0.055,-1.0725000000000002,32.2125,-76.09,45.712500000000006
69,0,0.0475,0.065,-1.0025,30.497500000000002,-69.5775,54.364999999999995
69,0,0.005000000000000003,-0.07250000000000001,-1.1275,23.0875,-70.62,58.1575
69,0,0.0375,-0.095,-1.0299999999999998,25.7825,-69.3925,53.6675
69,-1,0.014999999999999998,-0.1,-1.065,24.372500000000002,-82.36,52.01499999999999
69,-1,-0.0024999999999999953,-0.18000000000000002,-1.03,20.267500000000002,-76.88999999999999,58.79750000000001
69,-1,-0.1075,0.024999999999999998,-1.14,29.21,-84.6375,50.7825
69,2,-0.012499999999999995,0.075,-1.195,36.927499999999995,-64.22749999999999,47.1525
69,2,0.02,-0.065,-1.07,27.005000000000003,-64.23,55.0575
69,2,-0.1475,0.022500000000000003,-1.0050000000000001,29.7625,-74.9825,42.29
69,3,-0.105,0.21000000000000002,-0.51,30.4375,-69.3925,40.8525
69,3,0.055,-0.015000000000000001,-1.0550000000000002,30.375,-61.58500000000001,50.302499999999995
69,3,-0.1775,0.0475,-1.085,47.2175,-54.269999999999996,39.7825
68,1,-0.0024999999999999996,0.0475,-1.06,35.8875,-69.33,43.68
68,1,0.08249999999999999,-0.73,-0.2475,-38.832499999999996,-31.097499999999997,7.477499999999999
68,1,0.057499999999999996,-0.005,-1.0550000000000002,34.295,-58.637499999999996,56.0725
68,1,-0.0525,-0.065,-1.0875,29.029999999999998,-67.60749999999999,48.7
68,2,0.07500000000000001,-0.052500000000000005,-1.09,27.865000000000002,-59.065000000000005,52.815
68,2,-0.07250000000000001,-0.0275,-1.0750000000000002,34.6625,-68.4675,44.0025
68,2,-0.09749999999999999,-0.042499999999999996,-1.045,36.3775,-65.0275,47.4225
68,3,-0.0575,-0.0175,-1.075,32.885,-59.68,47.792500000000004
68,3,0.035,-0.022500000000000003,-1.02,32.2725,-60.540000000000006,51.747499999999995
68,3,-0.037500000000000006,0.025,-1.0250000000000001,39.01,-61.155,47.26
68,0,0.035,0.015,-0.905,16.84,-68.9,52.599999999999994
68,0,-0.027499999999999997,-0.0175,-1.0699999999999998,18.7375,-69.085,53.18749999999999
68,0,-0.12,0.030000000000000002,-1.04,20.942499999999995,-73.88,46.78
68,-1,0.1175,-0.185,-1.0775000000000001,7.285,-67.3025,59.33
68,-1,0.085,-0.030000000000000002,-0.9025000000000001,10.7725,-72.28,51.584999999999994
68,-1,-0.1525,0.06,-1.0375,17.7575,-86.05000000000001,41.1175
67,1,0.0575,-0.02,-1.285,24.5575,-61.1525,55.697500000000005
67,1,0.012499999999999999,-0.005000000000000001,-1.05,25.8425,-62.567499999999995,56.605
67,1,-0.14750000000000002,5.204170427930421e-18,-1.2475,28.0475,-68.2225,42.4
67,2,0.0,0.065,-0.9925,23.085,-59.1875,53.989999999999995
67,2,0.052500000000000005,-0.11249999999999999,-1.03,18.4925,-62.197500000000005,58.42
67,2,-0.1525,-0.0375,-1.0475,19.4125,-2230554.91,50.9975
67,2,-0.075,-0.07,-1.0875,23.7575,-64.905,55.7525
67,3,0.08,0.125,-1.1125,31.54,-1115303.7299999997,52.599999999999994
67,3,-0.0475,-0.07,-1.045,23.577499999999997,-64.475,55.162499999999994
67,3,-0.07999999999999999,-0.0275,-1.055,27.435,-60.97,54.685
67,0,-0.042499999999999996,0.0825,-1.0425,28.537499999999998,-65.0275,41.225
67,0,-0.004999999999999999,0.0225,-1.095,23.512500000000003,-64.535,51.692499999999995
67,0,-0.14,-0.11499999999999999,-0.9974999999999999,19.6575,-71.11250000000001,50.144999999999996
67,-1,-0.049999999999999996,0.1175,-0.8724999999999999,14.8175,-65.8875,43.47
67,-1,0.095,-0.17250000000000001,-1.085,-0.5499999999999998,-67.795,56.0225
67,-1,-0.08,-0.0425,-0.9175,11.6925,-76.14999999999999,43.6275
66,-1,-0.0675,0.030000000000000006,-1.01,20.697499999999998,-63.675000000000004,37.379999999999995
66,-1,0.037500000000000006,-0.0875,-1.065,16.532500000000002,-57.16,50.4125
66,-1,-0.1375,-0.2125,-1.1575000000000002,13.897499999999999,-1115309.3224999998,50.89
66,-1,-0.065,-0.0475,-1.0625,14.08,-68.4725,45.07
66,0,0.18250000000000002,-0.027500000000000004,-1.0450000000000002,20.4525,-51.995000000000005,63.3375
66,0,-0.005,-0.08,-1.0475,15.489999999999998,-65.5825,59.2225
66,0,-0.27,-0.08,-1.0725,13.8975,-78.61,43.6275
66,1,0.1525,-0.3275,-0.9675000000000001,5.755,-56.667500000000004,70.065
